Author,Title,ISBN-10,ISBN-13,OL_key,OL_title,OL_library,OL_ID
Philip K. Dick,"Flow My Tears, the Policeman Said",385008871,,OL2172518W,"Flow My Tears, the Policeman Said",Philip K. Dick,4de5c884-e36a-43bc-95ac-081396190314
Lois McMaster Bujold,The Warrior's Apprentice,1886778272,9781886778276,OL56887W,The Warrior's Apprentice,Lois McMaster Bujold,589c7af0-5d12-4c27-91a8-ebf73be26522
Philip K. Dick,The Three Stigmata of Palmer Eldritch,8445073680,9788445073681,OL2172402W,The Three Stigmata of Palmer Eldritch,Philip K. Dick,43023e80-737e-42d1-8c82-e37b49085e01
John Wyndham,The Chrysalids,140013083,,OL1911334W,The Chrysalids,John Wyndham,6b3dad2b-68c4-43c1-86e0-23cdc743361a
Roger Zelazny,Lord of Light,60567236,,OL13992W,Lord of Light,Roger Zelazny,b5976755-93c8-40fe-8add-c854e184bc7d
Peter F. Hamilton,The Reality Dysfunction,3404232216,9783404232215,OL474017W,The Reality Dysfunction,Peter F. Hamilton,e3d14511-5dd5-48a2-8c52-462ff253877a
Isaac Asimov & Robert Silverberg,Nightfall,385263414,,OL46374W,Nightfall,"Robert Silverberg, Isaac Asimov",40f026fe-46d5-48ab-8b5d-87a43d770d67
Edwin A. Abbott,Flatland: A Romance of Many Dimensions,,9781456506605,OL37818086W,Flatland: A Romance of Many Dimensions,Edwin A. Abbott,74256646-a62d-4cee-86d4-ae78b2f772b9
David Brin,Sundiver,785787224,9780785787228,OL58711W,Sundiver,David Brin,1123f365-2fff-4e38-abfe-d1b62e337b7e
Lois McMaster Bujold,Barrayar,2290313157,9782290313152,OL56905W,Barrayar,Lois McMaster Bujold,32cfe4de-e350-4c9e-8ecb-62031d6bd156
Larry Niven & Jerry Pournelle,Lucifer's Hammer,872234878,,OL510435W,Lucifer's Hammer,"Larry Niven, Jerry Pournelle",e20a06ac-a7c1-493b-a751-485268e10ec9
William Gibson,Burning Chrome,60539828,,OL27254W,Burning Chrome,William Gibson,24a96dc9-d304-4779-b524-26db7c541c85
Isaac Asimov,Pebble in the Sky,,9780593160084,OL46402W,Pebble in the Sky,Isaac Asimov,d2454a6b-c0c0-45f1-a81d-1ba6b0cbb3f4
David Brin,Startide Rising,055327418X,,OL58710W,Startide Rising,David Brin,0cf2a762-f788-486e-8d39-4b8e36f646b7
Arthur C. Clarke,The Fountains of Paradise,345253566,9780345253569,OL17403W,The Fountains of Paradise,Arthur C. Clarke,aae0d8bd-e0ca-41e0-88c5-f7ff035ccea4
Philip José Farmer,To Your Scattered Bodies Go,586039392,9780586039397,OL273080W,To Your Scattered Bodies Go,Philip José Farmer,5e6a1506-5179-4068-9238-2f5cce252f71
David Brin,The Postman,1567405649,9781567405644,OL58708W,The Postman,David Brin,83d1ae65-9bc7-47a2-9994-aace5ba3e834
Robert A. Heinlein,Time Enough for Love,739419447,9780739419441,OL59739W,Time Enough for Love,Robert A. Heinlein,d524f3fb-33bc-407d-8610-dfcb61d26ba6
Robert A. Heinlein,Have Space Suit—Will Travel,,9780450038549,OL39145951W,Have Space Suit—Will Travel,Robert A. Heinlein,c5d18e01-99c4-4016-a987-429456be0432
Ursula K. Le Guin,The Word for World is Forest,8445070584,9788445070581,OL59797W,The Word for World is Forest,Ursula K. Le Guin,6031af62-c833-455a-a0cb-efec553d4c86
Lois McMaster Bujold,The Vor Game,671720147,9780671720148,OL56909W,The Vor Game,Lois McMaster Bujold,45da5df1-0c69-41f9-9882-dcaf1cb41e37
Iain M. Banks,Excession,849502411X,9788495024114,OL8368435W,Excession,Iain M. Banks,878b2f20-2841-44a4-84ec-74a91c1517d5
Isaac Asimov,"The Stars, Like Dust",,9780008516277,OL46399W,"The Stars, Like Dust",Isaac Asimov,cf36a7f0-a9e6-49a8-bc7a-54ff118bff2e
Clifford D. Simak,Way Station,20248717,,OL4088396W,Way Station,Clifford D. Simak,5653282e-0ad2-40d8-91a4-13ad15e39930
Greg Bear,Eon,812520475,9780812520477,OL16518W,Eon,Greg Bear,e386152c-3ad9-4693-8041-2483acd23055
Robert A. Heinlein,The Door Into Summer,345413997,9780345413994,OL59733W,The Door Into Summer,Robert A. Heinlein,a44c6ce3-c4e1-4050-82c3-2c5c34cfea07
